,EpiWeek,MMWRweek,PUL,WSU,Total
1,7/26/20,31,6,1,7
2,8/2/20,32,6,4,10
3,8/9/20,33,1,6,7
4,8/16/20,34,2,78,80
5,8/23/20,35,10,262,272
6,8/30/20,36,11,328,339
7,9/6/20,37,11,191,202
8,9/13/20,38,9,110,119
9,9/20/20,39,5,127,132
10,9/27/20,40,0,76,76
11,10/4/20,41,9,81,90
12,10/11/20,42,28,76,104
13,10/18/20,43,25,31,56
14,10/25/20,44,16,15,31
15,11/1/20,45,32,23,55
16,11/8/20,46,54,19,73
17,11/15/20,47,54,86,140
18,11/22/20,48,49,6,55
19,11/29/20,49,41,22,63
20,12/6/20,50,33,25,58
21,12/13/20,51,35,16,51
22,12/20/20,52,18,10,28
23,12/27/20,53,17,11,28