,Report_Date,MMWRweek,J_date,Pullman,WSU,Total
1,7/26/20,31,208,0,0,0
2,7/27/20,31,209,2,0,2
3,7/28/20,31,210,1,0,1
4,7/29/20,31,211,0,0,0
5,7/30/20,31,212,3,1,4
6,7/31/20,31,213,0,0,0
7,8/1/20,31,214,0,0,0
8,8/2/20,32,215,3,0,3
9,8/3/20,32,216,0,0,0
10,8/4/20,32,217,0,0,0
11,8/5/20,32,218,3,1,4
12,8/6/20,32,219,0,0,0
13,8/7/20,32,220,0,0,0
14,8/8/20,32,221,0,3,3
15,8/9/20,33,222,0,0,0
16,8/10/20,33,223,1,0,1
17,8/11/20,33,224,0,2,2
18,8/12/20,33,225,0,1,1
19,8/13/20,33,226,0,1,1
20,8/14/20,33,227,0,1,1
21,8/15/20,33,228,0,1,1
22,8/16/20,34,229,0,0,0
23,8/17/20,34,230,1,1,2
24,8/18/20,34,231,0,0,0
25,8/19/20,34,232,0,5,5
26,8/20/20,34,233,0,4,4
27,8/21/20,34,234,1,29,30
28,8/22/20,34,235,0,39,39
29,8/23/20,35,236,0,1,1
30,8/24/20,35,237,1,48,49
31,8/25/20,35,238,0,40,40
32,8/26/20,35,239,1,40,41
33,8/27/20,35,240,0,21,21
34,8/28/20,35,241,5,52,57
35,8/29/20,35,242,3,60,63
36,8/30/20,36,243,0,24,24
37,8/31/20,36,244,6,44,50
38,9/1/20,36,245,2,53,55
39,9/2/20,36,246,1,37,38
40,9/3/20,36,247,0,49,49
41,9/4/20,36,248,0,56,56
42,9/5/20,36,249,2,65,67
43,9/6/20,37,250,0,6,6
44,9/7/20,37,251,1,7,8
45,9/8/20,37,252,3,18,21
46,9/9/20,37,253,1,40,41
47,9/10/20,37,254,3,58,61
48,9/11/20,37,255,3,35,38
49,9/12/20,37,256,0,27,27
50,9/13/20,38,257,1,10,11
51,9/14/20,38,258,0,13,13
52,9/15/20,38,259,0,1,1
53,9/16/20,38,260,4,21,25
54,9/17/20,38,261,1,20,21
55,9/18/20,38,262,2,20,22
56,9/19/20,38,263,1,25,26
57,9/20/20,39,264,2,9,11
58,9/21/20,39,265,0,9,9
59,9/22/20,39,266,0,4,4
60,9/23/20,39,267,1,24,25
61,9/24/20,39,268,1,26,27
62,9/25/20,39,269,0,32,32
63,9/26/20,39,270,1,23,24
64,9/27/20,40,271,0,11,11
65,9/28/20,40,272,0,3,3
66,9/29/20,40,273,0,1,1
67,9/30/20,40,274,0,21,21
68,10/1/20,40,275,0,9,9
69,10/2/20,40,276,0,18,18
70,10/3/20,40,277,0,13,13
71,10/4/20,41,278,0,6,6
72,10/5/20,41,279,1,6,7
73,10/6/20,41,280,0,3,3
74,10/7/20,41,281,3,26,29
75,10/8/20,41,282,0,15,15
76,10/9/20,41,283,3,18,21
77,10/10/20,41,284,2,7,9
78,10/11/20,42,285,4,9,13
79,10/12/20,42,286,1,7,8
80,10/13/20,42,287,2,3,5
81,10/14/20,42,288,7,21,28
82,10/15/20,42,289,1,13,14
83,10/16/20,42,290,8,15,23
84,10/17/20,42,291,5,8,13
85,10/18/20,43,292,9,2,11
86,10/19/20,43,293,3,2,5
87,10/20/20,43,294,2,0,2
88,10/21/20,43,295,5,8,13
89,10/22/20,43,296,3,6,9
90,10/23/20,43,297,2,6,8
91,10/24/20,43,298,1,7,8
92,10/25/20,44,299,1,10,11
93,10/26/20,44,300,1,0,1
94,10/27/20,44,301,4,1,5
95,10/28/20,44,302,4,2,6
96,10/29/20,44,303,3,0,3
97,10/30/20,44,304,1,1,2
98,10/31/20,44,305,2,1,3
99,11/1/20,45,306,2,2,4
100,11/2/20,45,307,2,2,4
101,11/3/20,45,308,2,0,2
102,11/4/20,45,309,7,3,10
103,11/5/20,45,310,4,3,7
104,11/6/20,45,311,7,8,15
105,11/7/20,45,312,8,5,13
106,11/8/20,46,313,0,2,2
107,11/9/20,46,314,1,0,1
108,11/10/20,46,315,3,2,5
109,11/11/20,46,316,9,15,24
110,11/12/20,46,317,16,0,16
111,11/13/20,46,318,17,0,17
112,11/14/20,46,319,8,0,8
113,11/15/20,47,320,8,0,8
114,11/16/20,47,321,3,1,4
115,11/17/20,47,322,11,3,14
116,11/18/20,47,323,4,16,20
117,11/19/20,47,324,9,14,23
118,11/20/20,47,325,9,34,43
119,11/21/20,47,326,10,18,28
120,11/22/20,48,327,3,2,5
121,11/23/20,48,328,1,0,1
122,11/24/20,48,329,11,0,11
123,11/25/20,48,330,16,0,16
124,11/26/20,48,331,11,0,11
125,11/27/20,48,332,5,3,8
126,11/28/20,48,333,2,1,3
127,11/29/20,49,334,0,2,2
128,11/30/20,49,335,5,1,6
129,12/1/20,49,336,6,3,9
130,12/2/20,49,337,9,5,14
131,12/3/20,49,338,13,0,13
132,12/4/20,49,339,3,3,6
133,12/5/20,49,340,5,8,13
134,12/6/20,50,341,5,0,5
135,12/7/20,50,342,5,4,9
136,12/8/20,50,343,6,1,7
137,12/9/20,50,344,5,6,11
138,12/10/20,50,345,4,2,6
139,12/11/20,50,346,6,6,12
140,12/12/20,50,347,2,6,8
141,12/13/20,51,348,4,0,4
142,12/14/20,51,349,3,0,3
143,12/15/20,51,350,4,1,5
144,12/16/20,51,351,6,6,12
145,12/17/20,51,352,9,1,10
146,12/18/20,51,353,5,5,10
147,12/19/20,51,354,4,3,7
148,12/20/20,52,355,3,3,6
149,12/21/20,52,356,2,0,2
150,12/22/20,52,357,7,2,9
151,12/23/20,52,358,0,1,1
152,12/24/20,52,359,4,4,8
153,12/25/20,52,360,2,0,2
154,12/26/20,52,361,0,0,0
155,12/27/20,53,362,1,0,1
156,12/28/20,53,363,1,0,1
157,12/29/20,53,364,2,2,4
158,12/30/20,53,365,2,7,9
159,12/31/20,53,366,1,1,2
160,1/1/21,53,1,4,0,4
161,1/2/21,53,2,6,1,7